Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Russia,Premier League,2018/2019,28/07/2018,14:30,Ural,FK Anzi Makhackala,0,1,A,1.61,3.73,6.99,1.62,4,7.1,1.57,3.7,6.42
Russia,Premier League,2018/2019,28/07/2018,17:00,Spartak Moscow,Orenburg,1,0,H,1.46,4.38,8.29,1.5,4.6,9,1.44,4.2,7.67
Russia,Premier League,2018/2019,28/07/2018,19:30,FK Rostov,Akhmat Grozny,1,0,H,2.25,3.02,3.9,2.38,3.1,3.9,2.24,2.93,3.62
Russia,Premier League,2018/2019,29/07/2018,12:00,Yenisey,Zenit,0,2,A,7.5,3.63,1.6,9,4,1.65,6.65,3.58,1.58
Russia,Premier League,2018/2019,29/07/2018,14:30,Arsenal Tula,Dynamo Moscow,0,0,D,3.09,2.88,2.76,3.1,3.16,2.86,2.89,2.92,2.68
Russia,Premier League,2018/2019,29/07/2018,17:00,Rubin Kazan,Krasnodar,2,1,H,2.87,2.9,2.95,3,3.05,3,2.78,2.9,2.8
Russia,Premier League,2018/2019,30/07/2018,16:00,Ufa,Lokomotiv Moscow,0,0,D,4.42,3.06,2.08,4.8,3.1,2.15,4.24,2.96,2.05
Russia,Premier League,2018/2019,31/07/2018,17:00,FK Krylya Sovetov Samara,CSKA Moscow,0,0,D,4.26,3.14,2.09,4.5,3.24,2.13,4.02,3.03,2.06
Russia,Premier League,2018/2019,03/08/2018,17:30,Dynamo Moscow,Rubin Kazan,1,1,D,2.75,2.9,3.08,2.95,2.92,3.1,2.75,2.75,2.95
Russia,Premier League,2018/2019,04/08/2018,12:00,Ural,Krasnodar,1,2,A,3.41,3.25,2.32,3.6,3.26,2.36,3.3,3.09,2.28
Russia,Premier League,2018/2019,04/08/2018,14:30,Zenit,Arsenal Tula,1,0,H,1.3,5.28,13.82,1.35,5.44,14.77,1.32,4.77,10.79
Russia,Premier League,2018/2019,04/08/2018,17:00,Lokomotiv Moscow,Spartak Moscow,0,0,D,2.77,3.13,2.84,2.86,3.2,2.94,2.67,3.01,2.79
Russia,Premier League,2018/2019,05/08/2018,14:30,FK Krylya Sovetov Samara,Orenburg,0,3,A,2.42,2.93,3.6,2.48,3,3.76,2.36,2.83,3.47
Russia,Premier League,2018/2019,05/08/2018,17:00,CSKA Moscow,FK Rostov,0,1,A,1.88,3.27,5.11,1.97,3.27,5.25,1.87,3.15,4.72
Russia,Premier League,2018/2019,05/08/2018,19:30,Akhmat Grozny,Yenisey,1,0,H,1.74,3.58,5.65,1.87,3.64,5.65,1.74,3.37,5.19
Russia,Premier League,2018/2019,06/08/2018,15:30,Ufa,FK Anzi Makhackala,3,0,H,1.57,3.76,7.68,1.65,3.86,7.69,1.57,3.58,6.86
Russia,Premier League,2018/2019,10/08/2018,15:30,Ural,Dynamo Moscow,1,1,D,2.6,2.96,3.22,2.66,3,3.4,2.53,2.86,3.13
Russia,Premier League,2018/2019,11/08/2018,14:30,Yenisey,CSKA Moscow,1,1,D,5.27,3.43,1.81,5.27,3.5,1.91,4.75,3.23,1.84
Russia,Premier League,2018/2019,11/08/2018,17:00,Spartak Moscow,FK Anzi Makhackala,1,0,H,1.2,7.83,14.45,1.23,7.83,17.62,1.2,6.38,13.25
Russia,Premier League,2018/2019,11/08/2018,19:30,FK Rostov,FK Krylya Sovetov Samara,0,1,A,1.79,3.14,6.44,1.84,3.4,6.5,1.74,3.16,5.85
Russia,Premier League,2018/2019,12/08/2018,12:00,Orenburg,Lokomotiv Moscow,1,0,H,3.86,3,2.27,3.98,3.05,2.35,3.65,2.89,2.25
Russia,Premier League,2018/2019,12/08/2018,14:30,Arsenal Tula,Akhmat Grozny,3,1,H,2.75,2.91,3.06,2.86,3.1,3.1,2.65,2.87,2.95
Russia,Premier League,2018/2019,13/08/2018,15:30,Ufa,Krasnodar,0,1,A,3.47,3.02,2.42,3.75,3.1,2.49,3.35,2.95,2.36
Russia,Premier League,2018/2019,13/08/2018,18:00,Rubin Kazan,Zenit,0,1,A,3.82,3.14,2.21,4.26,3.14,2.21,3.86,2.99,2.13
Russia,Premier League,2018/2019,17/08/2018,17:30,FK Anzi Makhackala,Orenburg,1,3,A,4.21,3.03,2.16,4.5,3.14,2.18,4.07,3.01,2.06
Russia,Premier League,2018/2019,18/08/2018,14:30,CSKA Moscow,Arsenal Tula,3,0,H,1.66,3.7,6.22,1.72,3.7,7.4,1.65,3.54,5.71
Russia,Premier League,2018/2019,18/08/2018,17:00,Krasnodar,Spartak Moscow,0,1,A,2.78,3.37,2.66,3.18,3.4,2.7,2.71,3.23,2.58
Russia,Premier League,2018/2019,18/08/2018,19:30,Akhmat Grozny,Rubin Kazan,1,1,D,2.88,2.79,3.05,2.91,2.9,3.07,2.77,2.78,2.89
Russia,Premier League,2018/2019,19/08/2018,14:30,FK Krylya Sovetov Samara,Lokomotiv Moscow,0,1,A,4.41,3.19,2.03,4.9,3.19,2.08,4.28,3.04,2
